,comment,taste,service,mood,cospa,negaposi
58,"久しぶりに伺いました。
今の新型肺炎の影響か、店内はとても空いていました。
お料理は全て美味しく、盛り付けも華やかで素晴らしかったです。
店内のお花も美しいですし、接客もフレンドリーかつスマートで
全てにおいて最高でした。
食前のシャンパンも美味しかったです。
また伺います。",5,5,5,3,0.37142857142857144
59,"最高の心地よい接客、サービス、お料理を堪能出来ました。
やはり、1番大好きなお店です。",5,5,5,5,1.0
60,"本当に、相変わらずの高レベルです。コロナウイルスの影響で、ホテルロビーが少し寂しいぐらいだったのに、ここのレストランは、平日昼でも結構なお客さんでした。シエフも気を使ってくれて、入り口までお出迎え。お料理は、このお値段で、これだけのものを出してくれるのは、さすがです。
また、伺います。ご馳走様、そしてありがとうございました。",5,5,5,5,-0.2222222222222222
61,母の誕生日に使用。帝国ホテルだけあって、接客がとても良かったです。個室を利用しましたが、広くて良かったです。料理は普通かな。,4,5,5,5,0.75
62,"妻と入籍記念でお伺いしました。
1品目のコースが出てくるまで前菜がいくつか出てきますが、どれも素晴らしいです。
妥協を一切許さない仕事への真面目さが随所に伝わりました。
1品目は口に入れた瞬間、脳天まで突き上げるような衝撃的な美味しさでした。
今まで、数々の優良店には行ってきましたが間違いなくダントツのNo. 1です。
そしてなによりも、素晴らしい接客が心地良かったです。
とても優雅で良き日となりました。
思い出に残りました。
また、結婚1周年でお伺い致します。
ありがとうございました。",5,5,5,5,0.6333333333333333
63,"初めての利用で期待に胸をふくらませてお邪魔しました。前菜のタルトの美味しさにビックリする事から始まり、初めての柿のマーマレードも美味しく、主人が選んだホタテ貝のポワレのソースにコーヒーが入っているとお聞きしてまたビックリ。大変勉強になりました。そしてお料理と共に素晴らしいサービスをしていただきとても気持ちよく楽しい時間を過ごす事ができました。またお邪魔して
タルトをいただける日を楽しみに日々精進しようと思います。",5,5,5,4,0.16666666666666666
64,"ボルドー出身のフランス人2名と伺いました。
お料理、ワイン、ともに素晴らしかったです。
スタッフが充実していて常に気配り下さっているので、目が合うとすぐにテーブルに来ていただけますし、皆様 フランス語で会話が出来るので、大変有り難かったです。",5,5,5,5,0.8666666666666667
65,娘のお誕生日祝いに利用させていただきました。皆さんからお誕生日おめでとうと声をかけていただきちょっと照れながらとっても嬉しそうでした。サプライズのお祝いのケーキに感激していました。お料理もどれもおいしく、接客してくださった方々もとても感じよい対応で大満足です。また是非利用させていただきたいと思っています。、,5,5,5,5,0.6666666666666666
66,"初めてレ セゾンを利用させて頂きました。
お料理の味もとても美味しかったですし、
それに加えてスタッフの方々の対応も素晴らしく、これぞ一流のおもてなしだなと感じられたランチタイムでした！幸せな時間を本当にありがとうございました。",5,5,5,5,0.75
67,妻の誕生日のお祝いで今回初めてお世話になりました。一言「最高」でした。独創的なお料理の味や雰囲気ももちろん良かったのですが、一番はスタッフの皆様の接客接遇における愛情というか、思いやりが自然体で表現されていたことがすごく印象的で、これがチームレベルで実現できていることがこのお店の最高の時間と空間を作っている大きな要素だと感じました。お店を出たあとに「凄く良かったねぇ、また行きたいね」と自然と2人の口から同じ言葉が出ました。外資系ホテルやレストランとは少し違う、日本のおもてなしの神髄を体験させて頂きました。ありがとうございました。,4.5,5,5,4.5,0.6666666666666666
68,"生まれてこのかた口コミというものを書いたことがありませんでしたが、お料理・サービスともにあまりに素晴らしかったので、投稿させていただきます。
父の誕生日祝いのため、家族で伺いました。お恥ずかしながら、こういった格式あるレストランに行くのは初めてで、しかも帝国ホテルということで緊張しておりましたが、スタッフのみなさんの温かい心配り（と、ほんの少しのアルコール笑）ですぐに緊張もほぐれました。
お料理がおいしかったのはもちろんですが、記念撮影や誕生日ケーキ、四つ葉のクローバーまでいただいて、まさに至れり尽くせり。他にも挙げたらきりがないのですが、スタッフ皆さんが対「お客さん」というより対「人」として接してくださっているなと。ああ、これが一流のサービスなのか！と感動しました。
あとはもう、何より、父が本当に喜んでくれたのが一番です。夢のような時間をありがとうございました。また大切な日に伺いたいです。",5,5,5,5,0.6363636363636364
69,"お料理はもちろんですが
接客が素晴らしかったです。
また、記念日に再訪したいと思います。",4,4.5,4,4,0.3333333333333333
